     FECHATMAX TMIN  NOMBRE                    
   6052025 25.2  18.7PASO DE LOS LIBRES AERO   
   6052025 20.3  13.5PEHUAJO AERO              
   6052025 12.4     3PERITO MORENO AERO        
   6052025 16.5    11PIGUE AERO                
   6052025 24.4    16PILAR OBSERVATORIO        
   6052025 26.6  19.1POSADAS AERO              
   6052025 12.8   8.5PUERTO DESEADO AERO       
   6052025 18.2   8.2PUERTO MADRYN AERO        
   6052025   21    15PUNTA INDIO B.A.          
   6052025 26.2  19.6RAFAELA AERO              
   6052025 28.1  19.2RECONQUISTA AERO          
   6052025 24.8  20.3RESISTENCIA AERO          
   6052025 24.5  13.8RIO CUARTO AERO           
   6052025    9     3RIO GALLEGOS AERO         
   6052025  7.6   3.6RIO GRANDE B.A.           
   6052025 27.5  21.3RIVADAVIA                 
   6052025 27.9  17.5ROSARIO AERO              
   6052025 25.8    11SALTA AERO                
   6052025 19.8   7.5SAN ANTONIO OESTE AERO    
   6052025 23.9  18.1SAN FERNANDO AERO         
   6052025   26   6.5SAN JUAN AERO             
   6052025 13.6   2.4SAN JULIAN AERO           
   6052025 24.6  11.9SAN LUIS AERO             
   6052025   25     8SAN MARTIN (MZA)          
   6052025   24   7.6SAN RAFAEL AERO           
   6052025 10.2   2.3SANTA CRUZ AERO           
   6052025 20.8  12.6SANTA ROSA AERO           
   6052025 25.9  11.6SANTA ROSA DE CONLARA AE  
   6052025 23.5    19SANTIAGO DEL ESTERO AERO  
   6052025   27  18.2SAUCE VIEJO AERO          
   6052025   27  18.4SUNCHALES AERO            
   6052025 19.5  10.2TANDIL AERO               
   6052025 25.9  19.5TARTAGAL AERO             
   6052025 25.4    20TERMAS DE RIO HONDO AERO  
   6052025   28   9.5TINOGASTA                 
   6052025 16.2     7TRELEW AERO               
   6052025 19.7  13.5TRENQUE LAUQUEN           
   6052025   20   8.3TRES ARROYOS              
   6052025 25.8  19.4TUCUMAN AERO              
   6052025  6.2     1USHUAIA AERO              
   6052025   22     5USPALLATA                 
   6052025 22.4  15.5VENADO TUERTO AERO        
   6052025   23    12VICTORICA                 
   6052025 16.1   9.6VIEDMA AERO               
   6052025 24.6  17.2VILLA DE MARIA DEL RIO S  
   6052025   27  13.2VILLA DOLORES AERO        
   6052025 21.7  11.5VILLA GESELL AERO         
   6052025   28    10VILLA REYNOLDS AERO       
   5052025 21.3  15.3AEROPARQUE AERO           
   5052025 15.6   7.2AZUL AERO                 
   5052025 17.9   2.6BAHIA BLANCA AERO         
   5052025 11.5  -1.9BARILOCHE AERO            
   5052025 -9.8   -17BASE BELGRANO II          
   5052025  1.6    -2BASE CARLINI (EX JUBANY)  
   5052025  0.5  -9.4BASE ESPERANZA            
   5052025 -0.7 ###  BASE MARAMBIO             
   5052025  1.4  -1.1BASE ORCADAS              
   5052025 -3.3  -8.2BASE SAN MARTIN           
   5052025 16.3   5.5BENITO JUAREZ             
   5052025 25.5  17.8BERNARDO DE IRIGOYEN AER  
   5052025 14.2     9BOLIVAR AERO              
   5052025   21  15.9BUENOS AIRES OBSERVATORI  
   5052025 19.8  14.2CAMPO DE MAYO AERO        
   5052025 27.5  17.6CATAMARCA AERO            
   5052025 24.5  19.9CERES AERO                
   5052025NA       15CHAMICAL AERO             
   5052025   14  -0.8CHAPELCO AERO             
   5052025   23  11.7CHEPES                    
   5052025 24.9  16.5CHILECITO AERO            
   5052025 16.9   7.5COMODORO RIVADAVIA AERO   
   5052025 22.6    18CONCORDIA AERO            
   5052025 20.2  15.7CORDOBA AERO              
   5052025 22.6  16.6CORDOBA OBSERVATORIO      
   5052025 15.7     7CORONEL SUAREZ AERO       
   5052025 30.8  20.9CORRIENTES AERO           
   5052025 15.8  12.1DOLORES AERO              
   5052025 12.5  -1.6EL BOLSON AERO            
   5052025  8.4  -2.6EL CALAFATE AERO          
   5052025   20  15.5EL PALOMAR AERO           
   5052025NA     16.1ESCUELA DE AVIACION MILI  
   5052025 12.9  -1.7ESQUEL AERO               
   5052025 19.5    14EZEIZA AERO               
   5052025 31.6  20.5FORMOSA AERO              
   5052025 15.2   9.2GENERAL PICO AERO         
   5052025   11     2GOBERNADOR GREGORES AERO  
   5052025 23.2  17.7GUALEGUAYCHU AERO         
   5052025 29.6    19IGUAZU AERO               
   5052025 31.5    18ITUZAINGO                 
   5052025 21.4   5.5JACHAL                    
   5052025 24.7  15.2JUJUY AERO                
   5052025 24.5  13.6JUJUY U N                 
   5052025 19.1    13JUNIN AERO                
   5052025 19.6  14.3LA PLATA AERO             
   5052025 21.1  -1.5LA QUIACA OBSERVATORIO    
   5052025 27.2    17LA RIOJA AERO             
   5052025 20.5  13.6LABOULAYE AERO            
   5052025 16.4  11.5LAS FLORES                
   5052025 28.4  22.3LAS LOMITAS               
   5052025   17   4.8MALARGUE AERO             
   5052025 15.9  -3.5MAQUINCHAO                
   5052025 16.1  10.2MAR DEL PLATA AERO        
   5052025 20.8  17.8MARCOS JUAREZ AERO        
   5052025NA       15MARIANO MORENO AERO       
   5052025 20.4  12.8MENDOZA AERO              
   5052025NA     11.5MENDOZA OBSERVATORIO      
   5052025 30.4  17.5MERCEDES AERO (CTES)      
   5052025NA     14.3MERLO AERO                
   5052025   24    15METAN                     
   5052025 28.8  18.1MONTE CASEROS AERO        
   5052025 20.2    15MORON AERO                
   5052025 20.2   3.9NEUQUEN AERO              
   5052025 16.6  12.9NUEVE DE JULIO            
   5052025   29    18OBERA                     
   5052025 15.8   9.2OLAVARRIA AERO            
   5052025   24  20.2ORAN AERO                 
   5052025 26.9  18.2PARANA AERO               
   5052025 14.5   1.2PASO DE INDIOS            
   5052025 30.6  18.4PASO DE LOS LIBRES AERO   
   5052025 14.8  10.6PEHUAJO AERO              
   5052025 12.5  NA  PERITO MORENO AERO        
   5052025 14.8     9PIGUE AERO                
   5052025 21.2  14.7PILAR OBSERVATORIO        
   5052025 31.5  21.3POSADAS AERO              
   5052025   15   4.3PUERTO DESEADO AERO       
   5052025 17.8   4.2PUERTO MADRYN AERO        
   5052025   20    14PUNTA INDIO B.A.          
   5052025 23.7    19RAFAELA AERO              
   5052025 29.9  18.8RECONQUISTA AERO          
   5052025   31  17.8RESISTENCIA AERO          
   5052025 19.2  11.4RIO CUARTO AERO           
   5052025    8  -3.6RIO GALLEGOS AERO         
   5052025  8.2  -2.2RIO GRANDE B.A.           
   5052025   27  20.3RIVADAVIA                 
   5052025 22.3  18.5ROSARIO AERO              
   5052025 25.5    12SALTA AERO                
   5052025 17.4     2SAN ANTONIO OESTE AERO    
   5052025 20.9  16.2SAN FERNANDO AERO         
   5052025   21    11SAN JUAN AERO             
   5052025 11.5   3.4SAN JULIAN AERO           
   5052025 22.3   9.6SAN LUIS AERO             
   5052025 20.7   9.6SAN MARTIN (MZA)          
   5052025 20.8   6.1SAN RAFAEL AERO           
   5052025  8.8  -1.4SANTA CRUZ AERO           
   5052025 15.1   6.6SANTA ROSA AERO           
   5052025 23.5  12.3SANTA ROSA DE CONLARA AE  
   5052025 28.7  18.9SANTIAGO DEL ESTERO AERO  
   5052025 27.4  18.7SAUCE VIEJO AERO          
   5052025 21.6  18.6SUNCHALES AERO            
   5052025 15.5   7.7TANDIL AERO               
   5052025 25.1    18TARTAGAL AERO             
   5052025 27.6  16.5TERMAS DE RIO HONDO AERO  
   5052025   27  14.5TINOGASTA                 
   5052025   19   2.4TRELEW AERO               
   5052025 14.7   9.6TRENQUE LAUQUEN           
   5052025 17.1   6.9TRES ARROYOS              
   5052025 26.7  17.3TUCUMAN AERO              
   5052025  7.4   3.4USHUAIA AERO              
   5052025   22   3.6USPALLATA                 
   5052025 19.3  14.5VENADO TUERTO AERO        
   5052025 15.1   7.5VICTORICA                 
   5052025 16.4   1.5VIEDMA AERO               
   5052025 22.1  17.7VILLA DE MARIA DEL RIO S  
   5052025   24  12.9VILLA DOLORES AERO        
   5052025 14.5  10.6VILLA GESELL AERO         
   5052025   17    10VILLA REYNOLDS AERO       
   4052025 23.4  17.3AEROPARQUE AERO           
   4052025 21.4  13.7AZUL AERO                 
   4052025 21.5   8.2BAHIA BLANCA AERO         
   4052025  9.1  -2.3BARILOCHE AERO            
   4052025 -7.4 ###  BASE BELGRANO II          
   4052025    4   0.5BASE CARLINI (EX JUBANY)  
   4052025  0.7  -1.2BASE ESPERANZA            
   4052025  1.1  -3.2BASE MARAMBIO             
   4052025  1.5  -0.8BASE ORCADAS              
   4052025 -0.5  -4.2BASE SAN MARTIN           
   4052025 19.6  10.8BENITO JUAREZ             
   4052025 25.6  16.5BERNARDO DE IRIGOYEN AER  
   4052025 22.1  14.2BOLIVAR AERO              
   4052025 27.7    18BUENOS AIRES OBSERVATORI  
   4052025 27.2  12.7CAMPO DE MAYO AERO        
   4052025 28.5  16.4CATAMARCA AERO            
   4052025 28.2  15.2CERES AERO                
   4052025NA     16.8CHAMICAL AERO             
   4052025 11.5   2.2CHAPELCO AERO             
   4052025 25.6  16.2CHEPES                    
   4052025NA     NA  CHILECITO AERO            
   4052025 12.7   3.8COMODORO RIVADAVIA AERO   
   4052025 28.7  13.5CONCORDIA AERO            
   4052025 25.9  18.9CORDOBA AERO              
   4052025   27  20.1CORDOBA OBSERVATORIO      
   4052025 19.9   9.8CORONEL SUAREZ AERO       
   4052025   30  18.1CORRIENTES AERO           
   4052025 26.1  13.1DOLORES AERO              
   4052025 14.2   0.2EL BOLSON AERO            
   4052025  9.9  -3.1EL CALAFATE AERO          
   4052025 26.7    14EL PALOMAR AERO           
   4052025NA     14.5ESCUELA DE AVIACION MILI  
   4052025  9.8    -3ESQUEL AERO               
   4052025 26.6  16.9EZEIZA AERO               
   4052025 30.3    18FORMOSA AERO              
   4052025 22.9  13.4GENERAL PICO AERO         
   4052025  9.5    -2GOBERNADOR GREGORES AERO  
   4052025   29    15GUALEGUAYCHU AERO         
   4052025 28.4  16.8IGUAZU AERO               
   4052025 30.8    15ITUZAINGO                 
   4052025NA     NA  JACHAL                    
   4052025 24.4  13.8JUJUY AERO                
   4052025   25  12.4JUJUY U N                 
   4052025 24.2  14.5JUNIN AERO                
   4052025   26  13.4LA PLATA AERO             
   4052025   21     3LA QUIACA OBSERVATORIO    
   4052025 27.7  15.4LA RIOJA AERO             
   4052025 26.1  15.4LABOULAYE AERO            
   4052025   23    15LAS FLORES                
   4052025 30.7  20.2LAS LOMITAS               
   4052025 18.6     4MALARGUE AERO             
   4052025 10.2    -2MAQUINCHAO                
   4052025 22.8  11.3MAR DEL PLATA AERO        
   4052025   26  15.3MARCOS JUAREZ AERO        
   4052025NA       15MARIANO MORENO AERO       
   4052025 21.1  11.2MENDOZA AERO              
   4052025NA     12.5MENDOZA OBSERVATORIO      
   4052025 30.4    15MERCEDES AERO (CTES)      
   4052025NA     15.5MERLO AERO                
   4052025   23  16.5METAN                     
   4052025 29.5  14.9MONTE CASEROS AERO        
   4052025 26.4    16MORON AERO                
   4052025 16.4   3.9NEUQUEN AERO              
   4052025 23.4  15.9NUEVE DE JULIO            
   4052025NA     NA  OBERA                     
   4052025 20.6  12.9OLAVARRIA AERO            
   4052025 23.5  19.7ORAN AERO                 
   4052025 27.1  16.3PARANA AERO               
   4052025 10.6  -0.5PASO DE INDIOS            
   4052025 29.5  14.5PASO DE LOS LIBRES AERO   
   4052025 21.6  14.8PEHUAJO AERO              
   4052025NA     -3.4PERITO MORENO AERO        
   4052025 17.5     9PIGUE AERO                
   4052025 27.8    19PILAR OBSERVATORIO        
   4052025 31.7  17.1POSADAS AERO              
   4052025 13.5   0.8PUERTO DESEADO AERO       
   4052025 12.2   3.2PUERTO MADRYN AERO        
   4052025   25    13PUNTA INDIO B.A.          
   4052025 25.7  17.6RAFAELA AERO              
   4052025 29.2  16.5RECONQUISTA AERO          
   4052025 31.4  17.6RESISTENCIA AERO          
   4052025 24.2  13.4RIO CUARTO AERO           
   4052025 10.1   1.8RIO GALLEGOS AERO         
   4052025  8.6  -0.5RIO GRANDE B.A.           
   4052025   26  20.8RIVADAVIA                 
   4052025 26.5  15.8ROSARIO AERO              
   4052025 24.8    12SALTA AERO                
   4052025 13.6   5.2SAN ANTONIO OESTE AERO    
   4052025 27.2  13.7SAN FERNANDO AERO         
   4052025   22    10SAN JUAN AERO             
   4052025 11.5   1.2SAN JULIAN AERO           
   4052025 20.5  14.4SAN LUIS AERO             
   4052025 20.3  11.5SAN MARTIN (MZA)          
   4052025   19  10.1SAN RAFAEL AERO           
   4052025 10.2  -0.3SANTA CRUZ AERO           
   4052025   19  11.5SANTA ROSA AERO           
   4052025 27.7  14.2SANTA ROSA DE CONLARA AE  
   4052025 27.8  20.8SANTIAGO DEL ESTERO AERO  
   4052025   28  17.5SAUCE VIEJO AERO          
   4052025   27    17SUNCHALES AERO            
   4052025 21.4   9.6TANDIL AERO               
   4052025 24.7  20.2TARTAGAL AERO             
   4052025 25.8    20TERMAS DE RIO HONDO AERO  
   4052025 28.5   8.6TINOGASTA                 
   4052025 12.6   1.8TRELEW AERO               
   4052025 23.7  14.4TRENQUE LAUQUEN           
   4052025 18.8  12.2TRES ARROYOS              
   4052025 25.5  16.5TUCUMAN AERO              
   4052025  7.4   1.7USHUAIA AERO              
   4052025 20.6   5.1USPALLATA                 
   4052025 24.5  15.5VENADO TUERTO AERO        
   4052025 20.6  11.5VICTORICA                 
   4052025 15.6     6VIEDMA AERO               
   4052025   27  17.2VILLA DE MARIA DEL RIO S  
   4052025   26  16.6VILLA DOLORES AERO        
   4052025   23   9.8VILLA GESELL AERO         
   4052025   24  10.1VILLA REYNOLDS AERO       
   3052025 22.8  15.3AEROPARQUE AERO           
   3052025 22.3   3.4AZUL AERO                 
   3052025   26    10BAHIA BLANCA AERO         
   3052025 11.2   4.8BARILOCHE AERO            
   3052025 -8.5 ###  BASE BELGRANO II          
   3052025    4   0.3BASE CARLINI (EX JUBANY)  
   3052025  2.3  -0.5BASE ESPERANZA            
   3052025  1.2  -1.8BASE MARAMBIO             
   3052025  1.5  -1.4BASE ORCADAS              
   3052025  1.2    -1BASE SAN MARTIN           
   3052025 22.7   3.7BENITO JUAREZ             
   3052025 25.5  14.2BERNARDO DE IRIGOYEN AER  
   3052025 26.1     9BOLIVAR AERO              
   3052025 25.4  13.4BUENOS AIRES OBSERVATORI  
   3052025 26.4   8.3CAMPO DE MAYO AERO        
   3052025 29.7  18.4CATAMARCA AERO            
   3052025 28.5  15.5CERES AERO                
   3052025NA     14.7CHAMICAL AERO             
   3052025 10.5   6.9CHAPELCO AERO             
   3052025 26.6    16CHEPES                    
   3052025NA     NA  CHILECITO AERO            
   3052025 13.9   7.4COMODORO RIVADAVIA AERO   
   3052025 26.8    13CONCORDIA AERO            
   3052025 26.9  11.2CORDOBA AERO              
   3052025 27.4  13.9CORDOBA OBSERVATORIO      
   3052025 24.2   4.6CORONEL SUAREZ AERO       
   3052025 28.3  14.2CORRIENTES AERO           
   3052025 23.2   5.7DOLORES AERO              
   3052025   12   7.3EL BOLSON AERO            
   3052025  9.9  -1.9EL CALAFATE AERO          
   3052025 25.5     8EL PALOMAR AERO           
   3052025NA     11.5ESCUELA DE AVIACION MILI  
   3052025 11.4   2.5ESQUEL AERO               
   3052025   25   9.5EZEIZA AERO               
   3052025 28.9    16FORMOSA AERO              
   3052025   29    11GENERAL PICO AERO         
   3052025 10.4     1GOBERNADOR GREGORES AERO  
   3052025 27.9  11.5GUALEGUAYCHU AERO         
   3052025 28.2  17.3IGUAZU AERO               
   3052025 29.5    12ITUZAINGO                 
   3052025 26.6     2JACHAL                    
   3052025   26  13.8JUJUY AERO                
   3052025 24.7  13.8JUJUY U N                 
   3052025 27.7   9.7JUNIN AERO                
   3052025 23.5   8.3LA PLATA AERO             
   3052025 18.3     3LA QUIACA OBSERVATORIO    
   3052025 29.6  12.6LA RIOJA AERO             
   3052025 28.8    10LABOULAYE AERO            
   3052025   25   6.5LAS FLORES                
   3052025 28.9  18.3LAS LOMITAS               
   3052025 24.6   3.3MALARGUE AERO             
   3052025 15.2   3.5MAQUINCHAO                
   3052025   23   5.8MAR DEL PLATA AERO        
   3052025 28.2    11MARCOS JUAREZ AERO        
   3052025NA        9MARIANO MORENO AERO       
   3052025 25.2  10.8MENDOZA AERO              
   3052025NA     10.1MENDOZA OBSERVATORIO      
   3052025 28.2  13.8MERCEDES AERO (CTES)      
   3052025NA     10.4MERLO AERO                
   3052025 25.8  13.5METAN                     
   3052025 27.4  12.8MONTE CASEROS AERO        
   3052025 25.2  10.6MORON AERO                
   3052025 23.7   5.4NEUQUEN AERO              
   3052025 26.9  11.9NUEVE DE JULIO            
   3052025   28    15OBERA                     
   3052025   23   5.6OLAVARRIA AERO            
   3052025 26.5  19.9ORAN AERO                 
   3052025 26.2  14.2PARANA AERO               
   3052025 11.8   5.1PASO DE INDIOS            
   3052025 27.4  13.1PASO DE LOS LIBRES AERO   
   3052025 26.3  11.4PEHUAJO AERO              
   3052025  9.4   2.8PERITO MORENO AERO        
   3052025 23.7   7.3PIGUE AERO                
   3052025 26.9  11.4PILAR OBSERVATORIO        
   3052025 29.8  16.4POSADAS AERO              
   3052025 10.8   4.8PUERTO DESEADO AERO       
   3052025 16.2   6.4PUERTO MADRYN AERO        
   3052025 22.2     7PUNTA INDIO B.A.          
   3052025 27.8  14.5RAFAELA AERO              
   3052025 26.6  13.2RECONQUISTA AERO          
   3052025   29  14.2RESISTENCIA AERO          
   3052025 26.6  13.3RIO CUARTO AERO           
   3052025  8.2   1.5RIO GALLEGOS AERO         
   3052025  8.3   0.7RIO GRANDE B.A.           
   3052025 25.5  18.8RIVADAVIA                 
   3052025 27.3  11.7ROSARIO AERO              
   3052025 24.5  13.8SALTA AERO                
   3052025 19.1   4.8SAN ANTONIO OESTE AERO    
   3052025 24.7   9.1SAN FERNANDO AERO         
   3052025   27   9.5SAN JUAN AERO             
   3052025 11.5   3.4SAN JULIAN AERO           
   3052025 26.6    14SAN LUIS AERO             
   3052025 26.2  10.2SAN MARTIN (MZA)          
   3052025 26.7   9.9SAN RAFAEL AERO           
   3052025   11   0.7SANTA CRUZ AERO           
   3052025   28   8.3SANTA ROSA AERO           
   3052025 27.5   8.4SANTA ROSA DE CONLARA AE  
   3052025 25.8  15.2SANTIAGO DEL ESTERO AERO  
   3052025 28.2    14SAUCE VIEJO AERO          
   3052025 27.5  13.4SUNCHALES AERO            
   3052025 21.9   4.5TANDIL AERO               
   3052025 26.4  18.5TARTAGAL AERO             
   3052025 24.2  15.5TERMAS DE RIO HONDO AERO  
   3052025 29.5     9TINOGASTA                 
   3052025   17   7.6TRELEW AERO               
   3052025 27.5  11.4TRENQUE LAUQUEN           
   3052025   24   7.2TRES ARROYOS              
   3052025 27.3  15.4TUCUMAN AERO              
   3052025  7.5   2.7USHUAIA AERO              
   3052025 25.5   2.1USPALLATA                 
   3052025 28.5   9.5VENADO TUERTO AERO        
   3052025 28.1   8.5VICTORICA                 
   3052025 22.7   7.7VIEDMA AERO               
   3052025 25.5  10.6VILLA DE MARIA DEL RIO S  
   3052025 28.8  14.3VILLA DOLORES AERO        
   3052025   24   4.8VILLA GESELL AERO         
   3052025 28.8   7.8VILLA REYNOLDS AERO       
   2052025 21.9  15.6AEROPARQUE AERO           
   2052025 22.7   6.3AZUL AERO                 
   2052025 19.6   6.6BAHIA BLANCA AERO         
   2052025 10.3   6.1BARILOCHE AERO            
   2052025  -12 ###  BASE BELGRANO II          
   2052025    5  -1.1BASE CARLINI (EX JUBANY)  
   2052025  3.5  -1.7BASE ESPERANZA            
   2052025  1.6  -2.2BASE MARAMBIO             
   2052025    3  -2.4BASE ORCADAS              
   2052025  4.4  -0.2BASE SAN MARTIN           
   2052025 20.7     9BENITO JUAREZ             
   2052025 23.5  13.9BERNARDO DE IRIGOYEN AER  
   2052025 23.1   8.5BOLIVAR AERO              
   2052025 25.7  13.5BUENOS AIRES OBSERVATORI  
   2052025 25.3   8.9CAMPO DE MAYO AERO        
   2052025   29  12.4CATAMARCA AERO            
   2052025   28  14.8CERES AERO                
   2052025NA       15CHAMICAL AERO             
   2052025   12   6.2CHAPELCO AERO             
   2052025   27  13.9CHEPES                    
   2052025 26.2  11.6CHILECITO AERO            
   2052025   17   8.7COMODORO RIVADAVIA AERO   
   2052025 28.6  15.6CONCORDIA AERO            
   2052025   26  11.9CORDOBA AERO              
   2052025 27.5  14.2CORDOBA OBSERVATORIO      
   2052025 22.7   6.7CORONEL SUAREZ AERO       
   2052025 24.6  18.2CORRIENTES AERO           
   2052025 22.4  10.1DOLORES AERO              
   2052025 13.2   4.5EL BOLSON AERO            
   2052025 10.9  -1.1EL CALAFATE AERO          
   2052025   25   8.5EL PALOMAR AERO           
   2052025NA     17.5ESCUELA DE AVIACION MILI  
   2052025 12.1   4.4ESQUEL AERO               
   2052025 24.2  11.1EZEIZA AERO               
   2052025 27.1  17.6FORMOSA AERO              
   2052025 23.5   9.5GENERAL PICO AERO         
   2052025 13.5   1.5GOBERNADOR GREGORES AERO  
   2052025   26    11GUALEGUAYCHU AERO         
   2052025   27  13.8IGUAZU AERO               
   2052025   23    17ITUZAINGO                 
   2052025   23     6JACHAL                    
   2052025 26.4  11.8JUJUY AERO                
   2052025 24.5  11.4JUJUY U N                 
   2052025 24.6     9JUNIN AERO                
   2052025 23.8  10.2LA PLATA AERO             
   2052025 19.5   5.4LA QUIACA OBSERVATORIO    
   2052025 28.3  14.1LA RIOJA AERO             
   2052025   25   9.1LABOULAYE AERO            
   2052025 22.5     8LAS FLORES                
   2052025 24.4  19.3LAS LOMITAS               
   2052025 19.4   1.4MALARGUE AERO             
   2052025    9     3MAQUINCHAO                
   2052025 23.1  10.9MAR DEL PLATA AERO        
   2052025   28  11.1MARCOS JUAREZ AERO        
   2052025NA      9.5MARIANO MORENO AERO       
   2052025 24.4  14.6MENDOZA AERO              
   2052025NA       13MENDOZA OBSERVATORIO      
   2052025   23  18.2MERCEDES AERO (CTES)      
   2052025NA     11.5MERLO AERO                
   2052025 25.5    13METAN                     
   2052025 25.8    15MONTE CASEROS AERO        
   2052025 25.5  11.4MORON AERO                
   2052025 18.8   2.8NEUQUEN AERO              
   2052025 24.3    11NUEVE DE JULIO            
   2052025   23    15OBERA                     
   2052025 22.5   8.3OLAVARRIA AERO            
   2052025 27.2  17.1ORAN AERO                 
   2052025 28.5    15PARANA AERO               
   2052025   14   4.7PASO DE INDIOS            
   2052025 24.4  15.9PASO DE LOS LIBRES AERO   
   2052025 23.5  10.5PEHUAJO AERO              
   2052025 13.7   4.2PERITO MORENO AERO        
   2052025   20   8.4PIGUE AERO                
   2052025 26.6  11.4PILAR OBSERVATORIO        
   2052025 23.5  17.2POSADAS AERO              
   2052025 15.5     3PUERTO DESEADO AERO       
   2052025   17   8.6PUERTO MADRYN AERO        
   2052025 23.6    12PUNTA INDIO B.A.          
   2052025 28.8  15.7RAFAELA AERO              
   2052025   24  17.8RECONQUISTA AERO          
   2052025 25.3    18RESISTENCIA AERO          
   2052025   25  10.1RIO CUARTO AERO           
   2052025   10   4.7RIO GALLEGOS AERO         
   2052025  7.6   5.8RIO GRANDE B.A.           
   2052025 25.5  19.3RIVADAVIA                 
   2052025 26.4  12.4ROSARIO AERO              
   2052025 26.3   9.7SALTA AERO                
   2052025 20.8   7.3SAN ANTONIO OESTE AERO    
   2052025 24.7  11.3SAN FERNANDO AERO         
   2052025 24.4  12.3SAN JUAN AERO             
   2052025 14.6   4.6SAN JULIAN AERO           
   2052025   26  11.4SAN LUIS AERO             
   2052025   25  13.7SAN MARTIN (MZA)          
   2052025 21.4  13.1SAN RAFAEL AERO           
   2052025 13.4   3.6SANTA CRUZ AERO           
   2052025 22.4  10.3SANTA ROSA AERO           
   2052025 27.7   9.3SANTA ROSA DE CONLARA AE  
   2052025   29  13.3SANTIAGO DEL ESTERO AERO  
   2052025 28.7  15.1SAUCE VIEJO AERO          
   2052025   30    16SUNCHALES AERO            
   2052025 22.1   5.9TANDIL AERO               
   2052025   25    16TARTAGAL AERO             
   2052025 27.6  13.4TERMAS DE RIO HONDO AERO  
   2052025 27.5     8TINOGASTA                 
   2052025 17.9   8.8TRELEW AERO               
   2052025   24  11.5TRENQUE LAUQUEN           
   2052025 21.3  11.2TRES ARROYOS              
   2052025 26.6    14TUCUMAN AERO              
   2052025  5.4   1.9USHUAIA AERO              
   2052025 20.5     6USPALLATA                 
   2052025 26.1   9.5VENADO TUERTO AERO        
   2052025   23   6.5VICTORICA                 
   2052025 19.4   8.2VIEDMA AERO               
   2052025 27.8  16.2VILLA DE MARIA DEL RIO S  
   2052025 26.7  11.8VILLA DOLORES AERO        
   2052025 22.4     9VILLA GESELL AERO         
   2052025 24.2   7.4VILLA REYNOLDS AERO       
   1052025   20  16.4AEROPARQUE AERO           
   1052025 19.5   6.8AZUL AERO                 
   1052025 23.5  12.7BAHIA BLANCA AERO         
   1052025 10.1   5.2BARILOCHE AERO            
   1052025 -7.3 ###  BASE BELGRANO II          
   1052025  1.8  -1.1BASE CARLINI (EX JUBANY)  
   1052025  7.5   0.2BASE ESPERANZA            
   1052025  4.9  -2.4BASE MARAMBIO             
   1052025  5.8  -2.6BASE ORCADAS              
   1052025  5.4     2BASE SAN MARTIN           
   1052025 20.4   8.2BENITO JUAREZ             
   1052025   23  13.7BERNARDO DE IRIGOYEN AER  
   1052025 20.5    12BOLIVAR AERO              
   1052025 20.8  15.6BUENOS AIRES OBSERVATORI  
   1052025 21.6   9.8CAMPO DE MAYO AERO        
   1052025 31.4  18.4CATAMARCA AERO            
   1052025 30.2  13.4CERES AERO                
   1052025NA     13.5CHAMICAL AERO             
   1052025   12   3.6CHAPELCO AERO             
   1052025 24.7  13.1CHEPES                    
   1052025 25.7   9.9CHILECITO AERO            
   1052025 19.5   4.7COMODORO RIVADAVIA AERO   
   1052025 24.7   9.1CONCORDIA AERO            
   1052025 27.4  12.4CORDOBA AERO              
   1052025 26.4  15.5CORDOBA OBSERVATORIO      
   1052025   21   9.7CORONEL SUAREZ AERO       
   1052025 30.1    10CORRIENTES AERO           
   1052025 22.2   8.5DOLORES AERO              
   1052025 14.2   5.2EL BOLSON AERO            
   1052025  8.4  -2.1EL CALAFATE AERO          
   1052025 21.5   9.5EL PALOMAR AERO           
   1052025NA       13ESCUELA DE AVIACION MILI  
   1052025 13.6   2.5ESQUEL AERO               
   1052025 21.5  11.8EZEIZA AERO               
   1052025   31  11.8FORMOSA AERO              
   1052025 25.1  13.9GENERAL PICO AERO         
   1052025 10.5     2GOBERNADOR GREGORES AERO  
   1052025 23.2  10.8GUALEGUAYCHU AERO         
   1052025   26  13.1IGUAZU AERO               
   1052025 28.5     8ITUZAINGO                 
   1052025 28.8     2JACHAL                    
   1052025 21.4  14.9JUJUY AERO                
   1052025 21.9  12.2JUJUY U N                 
   1052025 21.2  10.5JUNIN AERO                
   1052025 20.6   9.1LA PLATA AERO             
   1052025 22.2   0.6LA QUIACA OBSERVATORIO    
   1052025 28.7    11LA RIOJA AERO             
   1052025 22.5  13.6LABOULAYE AERO            
   1052025 22.5  11.5LAS FLORES                
   1052025   30    14LAS LOMITAS               
   1052025   22   4.7MALARGUE AERO             
   1052025 14.5   4.2MAQUINCHAO                
   1052025 22.6   8.7MAR DEL PLATA AERO        
   1052025 24.5  11.3MARCOS JUAREZ AERO        
   1052025NA       12MARIANO MORENO AERO       
   1052025 25.2   9.2MENDOZA AERO              
   1052025NA     10.8MENDOZA OBSERVATORIO      
   1052025 27.5    11MERCEDES AERO (CTES)      
   1052025NA     11.3MERLO AERO                
   1052025 22.5  12.6METAN                     
   1052025   26  10.7MONTE CASEROS AERO        
   1052025 21.8  13.8MORON AERO                
   1052025   21   4.7NEUQUEN AERO              
   1052025 21.2  11.9NUEVE DE JULIO            
   1052025   26    12OBERA                     
