     FECHATMAX TMIN  NOMBRE                    
  15052025 23.6  19.8BUENOS AIRES OBSERVATORI  
  15052025 23.8  15.8CAMPO DE MAYO AERO        
  15052025 27.2  14.4CATAMARCA AERO            
  15052025 30.8    21CERES AERO                
  15052025NA       13CHAMICAL AERO             
  15052025 14.5   5.8CHAPELCO AERO             
  15052025 24.2   9.3CHEPES                    
  15052025   23  12.2CHILECITO AERO            
  15052025   17   7.2COMODORO RIVADAVIA AERO   
  15052025   28    20CONCORDIA AERO            
  15052025 28.4  18.1CORDOBA AERO              
  15052025 28.7  18.7CORDOBA OBSERVATORIO      
  15052025 19.5  12.4CORONEL SUAREZ AERO       
  15052025 28.6  19.6CORRIENTES AERO           
  15052025 20.7  15.1DOLORES AERO              
  15052025   17  11.5EL BOLSON AERO            
  15052025 10.4  -0.5EL CALAFATE AERO          
  15052025   24  16.4EL PALOMAR AERO           
  15052025NA     18.3ESCUELA DE AVIACION MILI  
  15052025 15.2   7.5ESQUEL AERO               
  15052025 24.6  17.8EZEIZA AERO               
  15052025 30.5  18.1FORMOSA AERO              
  15052025   22    16GENERAL PICO AERO         
  15052025   11   4.5GOBERNADOR GREGORES AERO  
  15052025 29.1  18.6GUALEGUAYCHU AERO         
  15052025   28  17.5IGUAZU AERO               
  15052025   29    18ITUZAINGO                 
  15052025   20     4JACHAL                    
  15052025 25.3  17.5JUJUY AERO                
  15052025 25.5  14.5JUJUY U N                 
  15052025 21.1  17.5JUNIN AERO                
  15052025 23.7  14.4LA PLATA AERO             
  15052025   22  -0.1LA QUIACA OBSERVATORIO    
  15052025 26.3  12.2LA RIOJA AERO             
  15052025 26.4  18.3LABOULAYE AERO            
  15052025 21.5    16LAS FLORES                
  15052025   31  21.8LAS LOMITAS               
  15052025 22.3   6.6MALARGUE AERO             
  15052025 12.7    -1MAQUINCHAO                
  15052025 23.6   8.2MAR DEL PLATA AERO        
  15052025 26.3    20MARCOS JUAREZ AERO        
  15052025NA       17MARIANO MORENO AERO       
  15052025 25.2   9.8MENDOZA AERO              
  15052025NA     10.4MENDOZA OBSERVATORIO      
  15052025 28.3  18.6MERCEDES AERO (CTES)      
  15052025NA     16.8MERLO AERO                
  15052025 27.1  17.8METAN                     
  15052025 27.6  17.8MONTE CASEROS AERO        
  15052025   24  17.4MORON AERO                
  15052025   21     7NEUQUEN AERO              
  15052025 20.9  17.4NUEVE DE JULIO            
  15052025   29    18OBERA                     
  15052025 18.8  14.5OLAVARRIA AERO            
  15052025 29.6  20.7ORAN AERO                 
  15052025 27.3    20PARANA AERO               
  15052025 17.4   9.7PASO DE INDIOS            
  15052025 28.7  18.7PASO DE LOS LIBRES AERO   
  15052025 21.2  16.6PEHUAJO AERO              
  15052025 10.3     6PERITO MORENO AERO        
  15052025 18.4  12.8PIGUE AERO                
  15052025 28.2  18.4PILAR OBSERVATORIO        
  15052025 28.5  19.8POSADAS AERO              
  15052025NA     11.8PUERTO DESEADO AERO       
  15052025 21.4   7.7PUERTO MADRYN AERO        
  15052025   24    16PUNTA INDIO B.A.          
  15052025 28.3  20.1RAFAELA AERO              
  15052025 28.6  20.6RECONQUISTA AERO          
  15052025 29.7  19.5RESISTENCIA AERO          
  15052025   26  17.4RIO CUARTO AERO           
  15052025 10.6   3.7RIO GALLEGOS AERO         
  15052025  8.8   3.8RIO GRANDE B.A.           
  15052025 31.5  21.3RIVADAVIA                 
  15052025 26.4  20.2ROSARIO AERO              
  15052025   24  14.3SALTA AERO                
  15052025 22.4   4.3SAN ANTONIO OESTE AERO    
  15052025 24.1  18.8SAN FERNANDO AERO         
  15052025 24.4    10SAN JUAN AERO             
  15052025   13   5.7SAN JULIAN AERO           
  15052025   25  15.9SAN LUIS AERO             
  15052025 25.3  10.7SAN MARTIN (MZA)          
  15052025 25.8  10.4SAN RAFAEL AERO           
  15052025 12.5     6SANTA CRUZ AERO           
  15052025 22.3  13.5SANTA ROSA AERO           
  15052025 24.2  15.5SANTA ROSA DE CONLARA AE  
  15052025 31.8    19SANTIAGO DEL ESTERO AERO  
  15052025 28.3  20.8SAUCE VIEJO AERO          
  15052025 29.5  21.1SUNCHALES AERO            
  15052025 18.5    10TANDIL AERO               
  15052025 29.9  15.6TARTAGAL AERO             
  15052025 24.2  16.5TERMAS DE RIO HONDO AERO  
  15052025 24.2   9.5TINOGASTA                 
  15052025 17.4   8.6TRELEW AERO               
  15052025 22.2  16.1TRENQUE LAUQUEN           
  15052025 22.8  10.8TRES ARROYOS              
  15052025 25.4  15.8TUCUMAN AERO              
  15052025    7   3.5USHUAIA AERO              
  15052025 22.5   1.6USPALLATA                 
  15052025 22.8    18VENADO TUERTO AERO        
  15052025 24.4  11.2VICTORICA                 
  15052025   22   8.7VIEDMA AERO               
  15052025 26.6  18.6VILLA DE MARIA DEL RIO S  
  15052025   25  14.8VILLA DOLORES AERO        
  15052025 21.6    12VILLA GESELL AERO         
  15052025 26.4  13.6VILLA REYNOLDS AERO       
  14052025 22.9  16.8AEROPARQUE AERO           
  14052025 23.2   7.4AZUL AERO                 
  14052025 22.8  10.4BAHIA BLANCA AERO         
  14052025 12.4   6.1BARILOCHE AERO            
  14052025-13.2 ###  BASE BELGRANO II          
  14052025  4.7  -2.8BASE CARLINI (EX JUBANY)  
  14052025  0.1   -13BASE ESPERANZA            
  14052025-16.3 ###  BASE MARAMBIO             
  14052025  3.2     0BASE ORCADAS              
  14052025  0.5  -2.2BASE SAN MARTIN           
  14052025 21.2  12.2BENITO JUAREZ             
  14052025 24.5    15BERNARDO DE IRIGOYEN AER  
  14052025 24.1    11BOLIVAR AERO              
  14052025 26.9  17.1BUENOS AIRES OBSERVATORI  
  14052025 25.9  11.6CAMPO DE MAYO AERO        
  14052025 25.4  12.8CATAMARCA AERO            
  14052025   30  15.2CERES AERO                
  14052025NA     14.5CHAMICAL AERO             
  14052025   14   6.5CHAPELCO AERO             
  14052025   23  13.3CHEPES                    
  14052025 23.9  11.5CHILECITO AERO            
  14052025 16.4   9.2COMODORO RIVADAVIA AERO   
  14052025 27.2    15CONCORDIA AERO            
  14052025 23.4  15.5CORDOBA AERO              
  14052025 23.5  17.3CORDOBA OBSERVATORIO      
  14052025 23.8     6CORONEL SUAREZ AERO       
  14052025 29.9  19.4CORRIENTES AERO           
  14052025   22  11.8DOLORES AERO              
  14052025 17.5   8.5EL BOLSON AERO            
  14052025 10.4   1.4EL CALAFATE AERO          
  14052025 25.5  14.2EL PALOMAR AERO           
  14052025NA       15ESCUELA DE AVIACION MILI  
  14052025   14   6.7ESQUEL AERO               
  14052025   26    12EZEIZA AERO               
  14052025 31.4  19.5FORMOSA AERO              
  14052025 25.6     8GENERAL PICO AERO         
  14052025   11   1.4GOBERNADOR GREGORES AERO  
  14052025   26  12.5GUALEGUAYCHU AERO         
  14052025 27.8  17.6IGUAZU AERO               
  14052025   29  17.5ITUZAINGO                 
  14052025 18.5   5.5JACHAL                    
  14052025   24  16.9JUJUY AERO                
  14052025 23.5  14.9JUJUY U N                 
  14052025 24.3  13.5JUNIN AERO                
  14052025 24.1  11.3LA PLATA AERO             
  14052025 22.5  -0.1LA QUIACA OBSERVATORIO    
  14052025 26.2  14.5LA RIOJA AERO             
  14052025 23.5  10.5LABOULAYE AERO            
  14052025 21.5  14.5LAS FLORES                
  14052025 31.4  18.8LAS LOMITAS               
  14052025   20   5.6MALARGUE AERO             
  14052025 14.6   4.8MAQUINCHAO                
  14052025 23.2    12MAR DEL PLATA AERO        
  14052025 26.8  13.7MARCOS JUAREZ AERO        
  14052025NA       13MARIANO MORENO AERO       
  14052025 23.6  11.6MENDOZA AERO              
  14052025NA     12.2MENDOZA OBSERVATORIO      
  14052025   29  18.5MERCEDES AERO (CTES)      
  14052025NA     13.1MERLO AERO                
  14052025 23.8  13.1METAN                     
  14052025 27.3  16.3MONTE CASEROS AERO        
  14052025   26  14.5MORON AERO                
  14052025 21.7   4.6NEUQUEN AERO              
  14052025 21.1  13.8NUEVE DE JULIO            
  14052025   28    18OBERA                     
  14052025 23.1  10.6OLAVARRIA AERO            
  14052025 25.5    21ORAN AERO                 
  14052025 26.6  15.3PARANA AERO               
  14052025 16.6   8.1PASO DE INDIOS            
  14052025 27.8  16.7PASO DE LOS LIBRES AERO   
  14052025 24.9  12.7PEHUAJO AERO              
  14052025 11.1   4.1PERITO MORENO AERO        
  14052025   23   8.3PIGUE AERO                
  14052025 23.2  15.2PILAR OBSERVATORIO        
  14052025 29.5  19.3POSADAS AERO              
        NANA     NA  NA                        
  14052025 13.5     6PUERTO DESEADO AERO       
  14052025 18.5     8PUERTO MADRYN AERO        
  14052025 25.5    14PUNTA INDIO B.A.          
  14052025 27.7  NA  RAFAELA AERO              
  14052025 29.7  18.8RECONQUISTA AERO          
  14052025 30.9  18.4RESISTENCIA AERO          
  14052025 21.6    14RIO CUARTO AERO           
  14052025 10.6   2.2RIO GALLEGOS AERO         
  14052025  7.9   2.5RIO GRANDE B.A.           
  14052025   31  19.8RIVADAVIA                 
  14052025 25.6  15.2ROSARIO AERO              
  14052025   22    13SALTA AERO                
  14052025 21.6   7.8SAN ANTONIO OESTE AERO    
  14052025 25.6  13.6SAN FERNANDO AERO         
  14052025   23    12SAN JUAN AERO             
  14052025   12   2.9SAN JULIAN AERO           
  14052025 24.6  13.1SAN LUIS AERO             
  14052025   24  11.1SAN MARTIN (MZA)          
  14052025 23.3   9.9SAN RAFAEL AERO           
  14052025 11.2     3SANTA CRUZ AERO           
  14052025 22.9   7.8SANTA ROSA AERO           
  14052025 24.1  12.7SANTA ROSA DE CONLARA AE  
  14052025 25.7  14.9SANTIAGO DEL ESTERO AERO  
  14052025 28.3  16.1SAUCE VIEJO AERO          
  14052025   28  14.6SUNCHALES AERO            
  14052025   23   7.7TANDIL AERO               
  14052025 27.5    14TARTAGAL AERO             
  14052025   24  15.5TERMAS DE RIO HONDO AERO  
  14052025 23.5     8TINOGASTA                 
  14052025 19.4   4.2TRELEW AERO               
  14052025 25.2    12TRENQUE LAUQUEN           
  14052025 23.3  11.1TRES ARROYOS              
  14052025 25.2  13.9TUCUMAN AERO              
  14052025  8.5   3.8USHUAIA AERO              
  14052025   20   1.1USPALLATA                 
  14052025   24    12VENADO TUERTO AERO        
  14052025 23.9   7.3VICTORICA                 
  14052025 20.9    12VIEDMA AERO               
  14052025   23  11.6VILLA DE MARIA DEL RIO S  
  14052025   26  14.6VILLA DOLORES AERO        
  14052025 21.8  11.6VILLA GESELL AERO         
  14052025 23.9   7.2VILLA REYNOLDS AERO       
  13052025 20.5  15.3AEROPARQUE AERO           
  13052025 19.9   3.1AZUL AERO                 
  13052025 23.1    14BAHIA BLANCA AERO         
  13052025 11.9   2.6BARILOCHE AERO            
